namespace prefix 	URI
gtfs: 	http://vocab.gtfs.org/terms#
dct: 	http://purl.org/dc/terms/
dcat: 	http://www.w3.org/ns/dcat#
xsd: 	http://www.w3.org/2001/XMLSchema#
rdfs: 	http://www.w3.org/2000/01/rdf-schema#
foaf: 	http://xmlns.com/foaf/0.1/
schema: 	http://schema.org/
geo: 	'http://www.w3.org/2003/01/geo/wgs84_pos#'
